generation;individual;reservoir_size;outputs;spectral_radius;sparsity;-nn-units1;-nn-activations1;-nn-units2;-nn-activations2;-nn-units3;-nn-activations3;-nn-units4;-nn-activations4;time_exec;test_validation;esn_params;nn_params;nn_hidden_layer;score;best
0;0;73;1;0.8;0.8;184;relu;125;relu;12;relu;61;relu;2.3509998321533203;0.3508771929824561;4443329;393738;4;0.4540967576974767;0.0
0;1;128;1;0.8;0.8;507;relu;17;softmax;93;relu;43;softmax;2.7779994010925293;0.0;4784384;1028947;4;0.0414371884770981;1.0
0;2;407;1;0.8;0.8;183;softmax;72;softmax;143;relu;63;relu;2.599003553390503;0.0;6607649;399070;4;0.0728300907111229;0.0
0;3;266;1;0.8;0.8;86;softmax;79;relu;54;relu;55;softmax;2.3020002841949463;0.0;5666756;186416;4;0.10493849650964594;0.0
0;4;108;1;0.8;0.8;249;softmax;180;relu;209;softmax;124;relu;2.410006046295166;0.0;4659664;607368;4;0.08103670599016055;0.0
0;5;440;1;0.8;0.8;20;relu;62;relu;181;relu;45;relu;2.36047101020813;0.34615384615384615;6833600;61007;4;0.44623393106281456;0.0
0;6;234;1;0.8;0.8;433;relu;153;relu;95;relu;102;relu;2.800747871398926;0.2222222222222222;5458756;957463;4;0.2607620721542097;0.0
0;7;300;1;0.8;0.8;25;relu;106;softmax;63;relu;79;relu;2.21882700920105;0.0;5890000;64738;4;0.11278522732331372;0.0
0;8;304;1;0.8;0.8;314;relu;235;softmax;113;relu;68;relu;2.8023972511291504;0.0;5916416;736897;4;0.05203139540487739;0.0
0;9;307;1;0.8;0.8;229;relu;42;relu;139;softmax;62;relu;2.8210015296936035;0.0;5936249;482672;4;0.07459763961437454;0.0
0;10;18;1;0.8;0.8;154;softmax;175;relu;195;relu;119;softmax;2.1849963665008545;0.0;4108324;393163;4;0.10790092059866008;0.0
0;11;285;1;0.8;0.8;424;softmax;23;softmax;18;relu;28;relu;2.8829753398895264;0.0;5791225;859221;4;0.04277155491137567;1.0
0;12;42;1;0.8;0.8;377;softmax;32;relu;46;relu;100;softmax;2.5210018157958984;0.0;4253764;772893;4;0.07177489612585009;0.0
0;13;284;1;0.8;0.8;144;softmax;208;softmax;140;relu;68;relu;2.456958293914795;0.0;5784656;357290;4;0.08795731456911221;0.0
0;14;261;1;0.8;0.8;433;relu;112;relu;199;softmax;122;relu;2.9179701805114746;0.0;5634121;962174;4;0.03569309352351868;1.0
0;15;168;1;0.8;0.8;243;relu;237;softmax;95;softmax;57;softmax;2.5069971084594727;0.0;5036224;572269;4;0.0789861275722816;0.0
0;16;63;1;0.8;0.8;153;relu;8;relu;151;relu;30;softmax;2.543997287750244;0.5;4381969;313366;4;0.6112884066597306;0.0
0;17;391;1;0.8;0.8;87;relu;50;relu;164;softmax;63;softmax;2.584731340408325;0.0;6498881;197374;4;0.09245421077306493;0.0
0;18;248;1;0.8;0.8;226;relu;106;relu;133;softmax;28;softmax;2.641932487487793;0.0;5549504;494329;4;0.07889507168545601;0.0
0;19;24;1;0.8;0.8;382;relu;154;relu;15;softmax;49;softmax;2.7469987869262695;0.0;4144576;826573;4;0.06846107927289424;0.0
0;20;180;1;0.8;0.8;289;relu;18;relu;28;relu;78;relu;2.57000732421875;0.40740740740740744;5112400;586461;4;0.4840657476508925;0.0
0;21;136;1;0.8;0.8;416;softmax;114;softmax;222;softmax;19;softmax;2.752995491027832;0.0;4834496;909761;4;0.05145267713018126;0.0
0;22;498;1;0.8;0.8;195;relu;70;relu;232;softmax;87;softmax;2.821564197540283;0.0;7236004;440834;4;0.06039415912809183;0.0
0;23;496;1;0.8;0.8;343;relu;11;relu;215;softmax;116;relu;3.0569705963134766;0.0;7222016;717997;4;0.03568631998320937;1.0
0;24;309;1;0.8;0.8;224;softmax;180;softmax;128;relu;44;relu;2.640000104904175;0.0;5949481;517658;4;0.07127152970697642;0.0
0;25;398;1;0.8;0.8;482;relu;205;relu;223;relu;16;relu;3.1740009784698486;0.0;6546404;1113053;4;0.009530121873896147;1.0
0;26;213;1;0.8;0.8;388;softmax;167;softmax;253;softmax;117;softmax;3.147002696990967;0.0;5323369;913809;4;0.04433287430916999;1.0
0;27;461;1;0.8;0.8;229;relu;88;softmax;126;relu;93;softmax;2.8639719486236572;0.0;6978521;501682;4;0.05848575240044657;0.0
0;28;226;1;0.8;0.8;264;relu;237;softmax;236;softmax;6;softmax;2.690002918243408;0.0;5407076;648673;4;0.06699667051434252;0.0
0;29;33;1;0.8;0.8;390;softmax;252;relu;14;softmax;121;softmax;2.678997278213501;0.0;4199089;884523;4;0.06250132070702048;0.0
0;30;116;1;0.8;0.8;53;softmax;179;softmax;41;softmax;127;softmax;2.083031415939331;0.0;4709456;128689;4;0.12335453989369213;0.0
0;31;230;1;0.8;0.8;0;relu;163;softmax;240;relu;81;relu;2.2519993782043457;0.0;5432900;385208;3;0.09031026955641544;0.0
0;32;188;1;0.8;0.8;443;relu;171;relu;162;relu;1;softmax;2.889031410217285;0.0;5163344;990398;4;0.03966340086760353;1.0
0;33;210;1;0.8;0.8;350;relu;127;softmax;179;relu;125;softmax;2.730973243713379;0.0;5304100;790591;4;0.05566944017908192;0.0
0;34;192;1;0.8;0.8;388;relu;139;softmax;76;softmax;36;relu;2.8170013427734375;0.0;5188864;843945;4;0.05246849418141822;0.0
0;35;406;1;0.8;0.8;134;relu;78;relu;231;relu;121;relu;2.880963087081909;0.36;6600836;325229;4;0.43955834047906633;0.0
0;36;333;1;0.8;0.8;287;softmax;243;relu;158;softmax;83;softmax;2.8469595909118652;0.0;6108889;696188;4;0.05302887837698335;0.0
0;37;63;1;0.8;0.8;84;relu;189;relu;101;relu;65;relu;2.0390000343322754;0.30000000000000004;4381969;210101;4;0.4205660421362084;0.0
0;38;496;1;0.8;0.8;363;relu;27;softmax;15;softmax;56;softmax;3.1049726009368896;0.0;7222016;737621;4;0.03392324131579641;1.0
0;39;161;1;0.8;0.8;451;softmax;118;softmax;194;relu;123;softmax;2.9009993076324463;0.0;4991921;1003106;4;0.040890704800867955;1.0
0;40;171;1;0.8;0.8;25;relu;163;softmax;205;relu;4;softmax;2.1203558444976807;0.0;5055241;88717;4;0.12216707012455381;0.0
0;41;471;1;0.8;0.8;485;softmax;151;relu;103;softmax;5;relu;3.337999105453491;0.0;7047841;1060059;4;0.007361510654308812;1.0
0;42;83;1;0.8;0.8;33;softmax;112;relu;250;relu;72;softmax;2.022028923034668;0.0;4504889;116309;4;0.12729386740939824;0.0
0;43;245;1;0.8;0.8;343;softmax;69;relu;71;softmax;53;softmax;2.7229950428009033;0.0;5530025;718973;4;0.05898158050645032;0.0
0;44;278;1;0.8;0.8;76;relu;103;softmax;195;softmax;35;softmax;2.6689250469207764;0.0;5745284;187219;4;0.10378111273113111;0.0
0;45;470;1;0.8;0.8;119;relu;215;softmax;198;softmax;115;softmax;2.710002899169922;0.0;7040900;329804;4;0.07306572016111372;0.0
0;46;266;1;0.8;0.8;307;softmax;65;relu;177;relu;23;relu;2.8090052604675293;0.0;5666756;650151;4;0.06327516152020699;0.0
0;47;4;1;0.8;0.8;467;softmax;166;softmax;45;relu;61;relu;2.7119991779327393;0.0;4024016;1022600;4;0.05251554210786323;0.0
0;48;38;1;0.8;0.8;372;relu;36;relu;253;relu;54;relu;2.5743181705474854;0.3404255319148936;4229444;780987;4;0.41180933605464864;0.0
