generation;individual;reservoir_size;outputs;spectral_radius;sparsity;-nn-units1;-nn-activations1;-nn-units2;-nn-activations2;-nn-units3;-nn-activations3;-nn-units4;-nn-activations4;time_exec;test_validation;esn_params;nn_params;nn_hidden_layer;score;best
0;36;384;1;0.8;0.8;374;softmax;184;softmax;132;relu;2;relu;3.3846471309661865;0.0;6451456;842066;4;0.030110334503152418;1.0
0;37;103;1;0.8;0.8;319;relu;2;softmax;25;relu;40;relu;2.9155502319335938;0.0;4628609;640156;4;0.0747613375409236;0.0
0;38;356;1;0.8;0.8;83;softmax;178;softmax;93;relu;73;relu;3.2070038318634033;0.0;6262736;204692;4;0.09209369948930077;0.0
0;39;56;1;0.8;0.8;52;relu;167;relu;61;relu;67;relu;2.323000907897949;0.2564102564102564;4339136;127441;4;0.38298538560781215;0.0
0;40;27;1;0.8;0.8;40;softmax;32;relu;236;relu;33;relu;2.0320017337799072;0.0;4162729;97029;4;0.1319078645461061;0.0
0;41;465;1;0.8;0.8;432;relu;49;softmax;165;softmax;18;softmax;3.272000551223755;0.0;7006225;896925;4;0.017134401018224256;1.0
0;42;62;1;0.8;0.8;225;relu;130;relu;218;relu;20;relu;2.512000560760498;0.18181818181818182;4375844;512585;4;0.27203602103332947;0.0
0;43;254;1;0.8;0.8;338;relu;153;softmax;203;softmax;84;relu;2.697089672088623;0.0;5588516;776773;4;0.04842967810585294;1.0
0;44;21;1;0.8;0.8;131;softmax;214;softmax;65;softmax;94;softmax;2.4373345375061035;0.0;4126441;310748;4;0.11253685832837679;0.0
0;45;2;1;0.8;0.8;177;softmax;3;relu;17;softmax;55;softmax;2.1079909801483154;0.0;4012004;355881;4;0.10996109035696598;0.0
0;46;458;1;0.8;0.8;198;softmax;140;relu;198;relu;50;relu;2.6672418117523193;0.0;6957764;462028;4;0.058287812978412123;0.0
0;47;426;1;0.8;0.8;312;softmax;176;relu;154;relu;71;softmax;2.915337324142456;0.0;6737476;717807;4;0.037613983351465916;1.0
0;48;262;1;0.8;0.8;337;relu;192;softmax;185;relu;100;relu;2.7381067276000977;0.0;5640644;793740;4;0.04611132084067199;1.0
0;49;42;1;0.8;0.8;132;relu;5;relu;191;softmax;112;softmax;2.1369998455047607;0.0;4253764;287673;4;0.11287736196795381;0.0
1;0;262;1;0.8;0.8;60;relu;159;relu;84;relu;29;relu;2.5990312099456787;0.4285714285714285;5640644;145724;4;0.5305890542325495;0.0
1;1;56;1;0.8;0.8;52;relu;167;relu;61;relu;67;relu;2.323000907897949;0.2564102564102564;4339136;127441;4;0.3796068832814856;0.0
1;2;290;1;0.8;0.8;257;relu;5;relu;183;relu;46;relu;2.652231454849243;0.2564102564102564;5824100;525203;4;0.3203294331795132;0.0
1;3;62;1;0.8;0.8;225;relu;130;relu;218;relu;20;relu;2.512000560760498;0.18181818181818182;4375844;512585;4;0.2685845249858988;0.0
1;4;259;1;0.8;0.8;397;relu;205;relu;172;relu;8;relu;2.979001998901367;0.21621621621621623;5621081;912821;4;0.24706188991438463;0.0
1;5;27;1;0.8;0.8;40;softmax;32;relu;236;relu;33;relu;2.0320017337799072;0.0;4162729;97029;4;0.12866963242487647;0.0
1;6;115;1;0.8;0.8;26;softmax;150;softmax;167;softmax;50;relu;2.0089914798736572;0.0;4703225;89795;4;0.12125561077478694;0.0
1;7;98;1;0.8;0.8;65;softmax;54;softmax;67;relu;3;relu;2.1037001609802246;0.0;4597604;137526;4;0.11838937857969971;0.0
1;8;149;1;0.8;0.8;35;softmax;249;softmax;73;relu;109;softmax;2.167001485824585;0.0;4916201;105535;4;0.11660226878470652;1.0
1;9;32;1;0.8;0.8;116;softmax;195;softmax;9;softmax;37;relu;2.01167631149292;0.0;4193024;257141;4;0.11329986144794832;1.0
1;10;290;1;0.8;0.8;257;relu;5;relu;151;relu;110;relu;2.618999481201172;0.31111111111111117;5824100;533395;4;0.3742671004923377;0.0
1;11;50;1;0.8;0.8;52;relu;183;softmax;29;relu;67;relu;2.1249608993530273;0.0;4302500;121233;4;0.12432319937209263;0.0
1;12;374;1;0.8;0.8;449;relu;133;relu;179;relu;36;relu;3.1350300312042236;0.3555555555555555;6383876;988839;4;0.3679047683852827;0.0
1;13;62;1;0.8;0.8;240;relu;167;relu;59;relu;65;relu;2.6647725105285645;0.3478260869565218;4375844;534431;4;0.43255720164780936;0.0
1;14;342;1;0.8;0.8;249;relu;159;relu;80;relu;5;relu;2.6950016021728516;0.26415094339622636;6168964;551216;4;0.3204861531093018;0.0
1;15;312;1;0.8;0.8;52;relu;167;relu;61;relu;74;relu;2.2560012340545654;0.35;5969344;127889;4;0.4487605263254396;0.0
1;16;56;1;0.8;0.8;52;relu;130;relu;220;relu;82;relu;1.962040901184082;0.35;4339136;158050;4;0.47034501520616334;0.0
1;17;310;1;0.8;0.8;316;relu;3;relu;245;relu;60;relu;2.662998914718628;0.3703703703703704;5956100;649129;4;0.4207690458890836;0.0
1;18;60;1;0.8;0.8;100;relu;163;relu;250;relu;20;relu;1.987999677658081;0.34146341463414637;4363600;262625;4;0.45169988073861495;0.0
1;19;384;1;0.8;0.8;60;relu;157;relu;84;relu;23;relu;2.458014965057373;0.30769230769230765;6451456;144912;4;0.39765262476123886;0.0
1;20;58;1;0.8;0.8;229;relu;130;relu;218;relu;28;relu;2.2912909984588623;0.3902439024390244;4351364;522877;4;0.4764177346077285;0.0
1;21;50;1;0.8;0.8;481;relu;135;relu;243;relu;52;relu;3.3160018920898438;0.30769230769230765;4302500;1073393;4;0.3433098792095512;0.0
1;22;294;1;0.8;0.8;316;relu;133;relu;245;softmax;61;relu;3.1758484840393066;0.0;5850436;722437;4;0.04515026892424507;1.0
1;23;295;1;0.8;0.8;449;relu;133;relu;179;relu;4;relu;2.9380011558532715;0.0;5857025;983015;4;0.020775567500201864;1.0
1;24;266;1;0.8;0.8;193;relu;28;relu;23;relu;79;relu;2.5050013065338135;0.4444444444444444;5666756;394348;4;0.5229088921325531;0.0
1;25;58;1;0.8;0.8;33;relu;2;relu;223;relu;30;relu;1.9265003204345703;0.2702702702702703;4351364;73552;4;0.3983043530647937;0.0
1;26;48;1;0.8;0.8;180;relu;183;relu;28;relu;67;relu;2.2100002765655518;0.2439024390243902;4290304;400534;4;0.3423877530026759;0.0
1;27;48;1;0.8;0.8;308;softmax;167;relu;181;relu;98;relu;2.4885051250457764;0.0;4290304;716353;4;0.0690628191418185;1.0
1;28;6;1;0.8;0.8;185;relu;158;relu;80;relu;21;relu;2.2440032958984375;0.28;4036036;414038;4;0.38103210289307177;0.0
1;29;22;1;0.8;0.8;233;relu;190;relu;82;relu;21;relu;2.6199638843536377;0.2439024390243902;4132484;528142;4;0.3328610815954662;0.0
1;30;298;1;0.8;0.8;60;relu;138;relu;212;relu;60;relu;2.2620368003845215;0.34146341463414637;5876804;170848;4;0.4376065367919016;0.0
1;31;58;1;0.8;0.8;52;relu;167;relu;61;relu;75;relu;2.548999786376953;0.30769230769230765;4351364;127953;4;0.43065825607566943;0.0
1;32;304;1;0.8;0.8;260;relu;133;relu;165;relu;34;relu;2.84785532951355;0.37209302325581395;5916416;582797;4;0.42926518494882027;0.0
1;33;56;1;0.8;0.8;36;relu;39;relu;61;relu;75;relu;2.0870001316070557;0.36363636363636365;4339136;80721;4;0.49118554357995314;0.0
1;34;418;1;0.8;0.8;261;relu;132;relu;183;relu;38;relu;2.717996120452881;0.4444444444444444;6682724;588254;4;0.4896412176672994;0.0
1;35;304;1;0.8;0.8;261;relu;133;relu;181;relu;34;relu;2.597028970718384;0.28571428571428575;5916416;587619;4;0.3424372177216131;0.0
1;36;190;1;0.8;0.8;225;relu;2;relu;218;relu;20;relu;2.357041120529175;0.41509433962264153;5176100;455753;4;0.4951802982726463;0.0
1;37;304;1;0.8;0.8;69;relu;133;relu;181;softmax;34;relu;2.4530017375946045;0.2285714285714286;5916416;177891;4;0.32346565478320854;0.0
1;38;60;1;0.8;0.8;225;relu;130;relu;250;relu;53;relu;2.5439670085906982;0.35;4363600;525766;4;0.43572158665211513;0.0
1;39;256;1;0.8;0.8;61;softmax;157;relu;84;relu;7;relu;2.4514999389648438;0.0;5601536;145678;4;0.10260712159925792;1.0
1;40;46;1;0.8;0.8;60;relu;205;relu;117;relu;29;relu;2.398953676223755;0.33333333333333337;4278116;160149;4;0.454395901109459;0.0
1;41;16;1;0.8;0.8;244;relu;189;relu;28;relu;67;relu;2.360816717147827;0.2285714285714286;4096256;541948;4;0.3167859836142013;0.0
1;42;396;1;0.8;0.8;60;relu;135;relu;53;relu;121;relu;2.655000925064087;0.2857142857142857;6532816;142281;4;0.3747022457735855;0.0
1;43;298;1;0.8;0.8;297;softmax;4;relu;55;relu;46;relu;2.840000629425049;0.0;5876804;598434;4;0.056308131618409446;1.0
